network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
AFTU,1,AFTU_1 [A1HL] AFTU_1_HLM-GR-YOFF_LAT-DIOR — dir0: Lat Dior → Terminus 1 Face Keur Yoff / dir1: Terminus 1 Face Keur Yoff → Lat Dior,114,90,LAT DIOR- HLM GRAND YOFF,Parcelles Assainies ↔ Sandaga (AFTU Ligne 1),aftu_1,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 90 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,2,AFTU_2 [A2PP] AFTU_2_Parcelles-Assainies_Petersen — dir0: Petersen 1 → Terminus Parcelles Assainies / dir1: Terminus Parcelles Assainies → Petersen 1,149,98,ROUTE PRINCIPALE PARCELLES - PETERSEN,Guédiawaye ↔ Sandaga (AFTU Ligne 2 Express),aftu_2,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 98 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,3,AFTU_3 [A3PY] AFTU_3_Petersen_Yoff — dir0: Yoff → Petersen 1 / dir1: Petersen 1 → Yoff,175,119,YOFF - PETERSEN,Marché Sandaga ↔ Hôpital Dalal Jamm (AFTU Ligne 3),aftu_3,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 119 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,4,AFTU_4 [A4PY] AFTU_4_Petersen_Yoff — dir0: Yoff → Petersen 1 / dir1: Petersen 1 → Yoff,171,78,YOFF VILLAGE - PETERSEN,Gare TER Dakar ↔ Cambérène (AFTU Ligne 4),aftu_4,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 78 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,5,AFTU_5 [A5PP] AFTU_5_Parcelles-Assainies_Petersen — dir0: Petersen 1 → Terminus Parcelles Assainies / dir1: Terminus Parcelles Assainies → Petersen 1,169,91,PARCELLES ASSAINIES- PETERSEN,Keur Massar ↔ Petersen (AFTU Ligne 5),aftu_5,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 91 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,6,,,,,Hôpital Dalal Jamm ↔ Liberté 6 (AFTU Ligne 6),aftu_6,5,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,7,,,,,Keur Mbaye Fall ↔ Hôpital Dalal Jamm (AFTU Ligne 7),aftu_7,5,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,8,,,,,Yoff ↔ Petersen via Patte d'Oie (AFTU Ligne 8),aftu_8,5,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,9,,,,,Fadia ↔ Mermoz (AFTU Ligne 9),aftu_9,5,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,10,,,,,Gare Maritime ↔ Grand Yoff (AFTU Ligne 10),aftu_10,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
