network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
DDD,1,DDD_01 [D1LP] DDD_01_LECLERC_PARCELLES-ASSAINIES — dir0: Terminus Leclerc → Terminus Parcelles Assaines / dir1: Terminus Parcelles Assaines → Terminus Leclerc,208,83,PARCELLES ASSAINIES ↔ PLACE LECLERC,Colobane ↔ Yoff Pêcheurs (DDD Ligne 1),ddd_1,4,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 83 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,2,DDD_02 [D2DL] DDD_02_DAROUKHANE_LECLERC — dir0: Terminus Leclerc → Terminus Daroukhane / dir1: Terminus Daroukhane → Terminus Leclerc,172,102,DAROUKHANE ↔ PLACE LECLERC,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,3,,,,,Sandaga ↔ Ouakam / Ngor (DDD Ligne 3),ddd_3,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
DDD,4,DDD_04 [D4DL] DDD_04_DIEUPPEUL_LECLERC — dir0: Terminus Leclerc → Terminus Liberté 5 / dir1: Terminus Liberté 5 → Terminus Leclerc,156,71,LIBERTÉ 5 ↔ PLACE LECLERC,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,5,DDD_05 [D5GP] DDD_05_GUEDIAWAYE_PALAIS1 — dir0: Terminus Palais 1 → Terminus Guédiawayee / dir1: Terminus Guédiawayee → Terminus Palais 1,216,71,GUÉDIAWAYE ↔ PALAIS 1,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,6,DDD_06 [D6CP] DDD_06_CAMBERENE_PALAIS2 — dir0: Terminus Palais 2 → Terminus Canberene 2 / dir1: Terminus Canberene 2 → Terminus Palais 2,163,108,CAMBÉRÈNE 2 ↔ PALAIS 2,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,7,DDD_07 [D7OP] DDD_07_OUAKAM_PALAIS-02 — dir0: Terminus Palais 2 → Terminus 7218 219 / dir1: Terminus 7218 219 → Terminus Palais 2,298,70,OUAKAM ↔ PALAIS 2,HLM ↔ Yoff Almadies (DDD Ligne 7),ddd_7,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (1 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 70 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,8,DDD_08 [D8PL] DDD_08_AEROPORT-LSS_PALAIS-02 — dir0: Terminus Palais 2 → AéRoport LéOpold SéDar Senghor / dir1: AéRoport LéOpold SéDar Senghor → Terminus Palais 2,202,95,AÉROPORT LSS ↔ PALAIS 2,Aéroport Yoff ↔ Sandaga Centre (DDD Ligne 8),ddd_8,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 95 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,9,DDD_09 [D9P0] DDD_09_LIBERTE-06_PALAIS-02 — dir0: Terminus Palais 2 → Terminus 9 Liberté 6 / dir1: Terminus 9 Liberté 6 → Terminus Palais 2,237,64,LIBERTÉ 6 ↔ PALAIS 2,Parcelles ↔ Almadies via Ngor (DDD Ligne 9),ddd_9,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 64 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,10,DDD_10 [D10LP] DDD_10_LIBERTE 5_PALAIS-02 — dir0: Terminus Palais 2 → Terminus Liberté 5 / dir1: Terminus Liberté 5 → Terminus Palais 2,185,62,LIBERTÉ 5 ↔ PALAIS 2,Liberté 6 ↔ Patte d'Oie ↔ Parcelles (DDD Ligne 10),ddd_10,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais 1/3 terminus concordant(s) seulement,MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 62 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
