network,route_id,route_short_name,route_long_name,agency_id,route_type,line_number,line_number_status,direction_ids,directions,stops_count_distinct,trips_count,service_ids,premier_depart,dernier_depart,trips_without_stop_times,schedule_status
AFTU,AFTU_1,A1HL,AFTU_1_HLM-GR-YOFF_LAT-DIOR,AFTU,3,1,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 60, ""dominant_pattern_trips"": 60, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1601"", ""origin_stop_name"": ""Lat Dior"", ""destination_stop_id"": ""A_916"", ""destination_stop_name"": ""Terminus 1 Face Keur Yoff"", ""stops_in_dominant_pattern"": 47, ""trip_headsign"": """", ""trip_id_label"": ""LAT-DIOR""}, ""1"": {""trips"": 54, ""dominant_pattern_trips"": 54, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_916"", ""origin_stop_name"": ""Terminus 1 Face Keur Yoff"", ""destination_stop_id"": ""A_1601"", ""destination_stop_name"": ""Lat Dior"", ""stops_in_dominant_pattern"": 45, ""trip_headsign"": """", ""trip_id_label"": ""HLM-GR-YOFF""}}",90,114,"{""FULL"": 114}",06:33:33,20:27:28,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_2,A2PP,AFTU_2_Parcelles-Assainies_Petersen,AFTU,3,2,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 75, ""dominant_pattern_trips"": 75, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1633"", ""origin_stop_name"": ""Petersen 1"", ""destination_stop_id"": ""A_1558"", ""destination_stop_name"": ""Terminus Parcelles Assainies"", ""stops_in_dominant_pattern"": 47, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}, ""1"": {""trips"": 74, ""dominant_pattern_trips"": 74, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1558"", ""origin_stop_name"": ""Terminus Parcelles Assainies"", ""destination_stop_id"": ""A_1633"", ""destination_stop_name"": ""Petersen 1"", ""stops_in_dominant_pattern"": 53, ""trip_headsign"": """", ""trip_id_label"": ""Parcelles-Assainies""}}",98,149,"{""FULL"": 149}",06:22:03,20:34:59,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_3,A3PY,AFTU_3_Petersen_Yoff,AFTU,3,3,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 89, ""dominant_pattern_trips"": 89, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1250"", ""origin_stop_name"": ""Yoff"", ""destination_stop_id"": ""A_1633"", ""destination_stop_name"": ""Petersen 1"", ""stops_in_dominant_pattern"": 62, ""trip_headsign"": """", ""trip_id_label"": ""Yoff""}, ""1"": {""trips"": 86, ""dominant_pattern_trips"": 86, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1633"", ""origin_stop_name"": ""Petersen 1"", ""destination_stop_id"": ""A_1250"", ""destination_stop_name"": ""Yoff"", ""stops_in_dominant_pattern"": 59, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}}",119,175,"{""FULL"": 175}",04:55:11,20:37:20,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_4,A4PY,AFTU_4_Petersen_Yoff,AFTU,3,4,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 86, ""dominant_pattern_trips"": 86, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1250"", ""origin_stop_name"": ""Yoff"", ""destination_stop_id"": ""A_1633"", ""destination_stop_name"": ""Petersen 1"", ""stops_in_dominant_pattern"": 40, ""trip_headsign"": """", ""trip_id_label"": ""Yoff""}, ""1"": {""trips"": 85, ""dominant_pattern_trips"": 85, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1633"", ""origin_stop_name"": ""Petersen 1"", ""destination_stop_id"": ""A_1250"", ""destination_stop_name"": ""Yoff"", ""stops_in_dominant_pattern"": 40, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}}",78,171,"{""FULL"": 171}",05:38:40,20:29:13,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_5,A5PP,AFTU_5_Parcelles-Assainies_Petersen,AFTU,3,5,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 83, ""dominant_pattern_trips"": 83, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1633"", ""origin_stop_name"": ""Petersen 1"", ""destination_stop_id"": ""A_1558"", ""destination_stop_name"": ""Terminus Parcelles Assainies"", ""stops_in_dominant_pattern"": 47, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}, ""1"": {""trips"": 86, ""dominant_pattern_trips"": 86, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1558"", ""origin_stop_name"": ""Terminus Parcelles Assainies"", ""destination_stop_id"": ""A_1633"", ""destination_stop_name"": ""Petersen 1"", ""stops_in_dominant_pattern"": 46, ""trip_headsign"": """", ""trip_id_label"": ""Parcelles-Assainies""}}",91,169,"{""FULL"": 169}",06:13:42,20:28:49,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_24,A24NU,AFTU_24_Notaire_UCAD,AFTU,3,24,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 72, ""dominant_pattern_trips"": 72, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_847"", ""origin_stop_name"": ""Terminus 24 En Face Ucad"", ""destination_stop_id"": ""A_1560"", ""destination_stop_name"": ""Terminus 24 64"", ""stops_in_dominant_pattern"": 50, ""trip_headsign"": """", ""trip_id_label"": ""UCAD""}, ""1"": {""trips"": 80, ""dominant_pattern_trips"": 80, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1560"", ""origin_stop_name"": ""Terminus 24 64"", ""destination_stop_id"": ""A_852"", ""destination_stop_name"": ""Librairie Clairafrique"", ""stops_in_dominant_pattern"": 48, ""trip_headsign"": """", ""trip_id_label"": ""Notaire""}}",96,152,"{""FULL"": 152}",05:07:21,20:31:12,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_25,A25PP,AFTU_25_Parcelle-Assainies_Petersen,AFTU,3,25,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 88, ""dominant_pattern_trips"": 88, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1633"", ""origin_stop_name"": ""Petersen 1"", ""destination_stop_id"": ""A_1558"", ""destination_stop_name"": ""Terminus Parcelles Assainies"", ""stops_in_dominant_pattern"": 41, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}, ""1"": {""trips"": 95, ""dominant_pattern_trips"": 95, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1558"", ""origin_stop_name"": ""Terminus Parcelles Assainies"", ""destination_stop_id"": ""A_1633"", ""destination_stop_name"": ""Petersen 1"", ""stops_in_dominant_pattern"": 41, ""trip_headsign"": """", ""trip_id_label"": ""Parcelle-Assainies""}}",80,183,"{""FULL"": 183}",05:56:46,20:30:13,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_26,A26PP,AFTU_26_Parcelle-Assainies_Poste-Thiaroye,AFTU,3,26,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 88, ""dominant_pattern_trips"": 88, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_586"", ""origin_stop_name"": ""Station Ciel Oil"", ""destination_stop_id"": ""A_1558"", ""destination_stop_name"": ""Terminus Parcelles Assainies"", ""stops_in_dominant_pattern"": 40, ""trip_headsign"": """", ""trip_id_label"": ""Poste-Thiaroye""}, ""1"": {""trips"": 94, ""dominant_pattern_trips"": 94, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1138"", ""origin_stop_name"": ""Face Brigade Nationale Des Sapeurs Pompiers Parcelle Assainies"", ""destination_stop_id"": ""A_586"", ""destination_stop_name"": ""Station Ciel Oil"", ""stops_in_dominant_pattern"": 41, ""trip_headsign"": """", ""trip_id_label"": ""Parcelle-Assainies""}}",80,182,"{""FULL"": 182}",06:00:22,20:22:07,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_27,A27GP,AFTU_27_Guediawaye MB_Petersen,AFTU,3,27,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 58, ""dominant_pattern_trips"": 58, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1630"", ""origin_stop_name"": ""Armurerie Coutellerie Amadou Niang"", ""destination_stop_id"": ""A_1561"", ""destination_stop_name"": ""Terminus 27"", ""stops_in_dominant_pattern"": 34, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}, ""1"": {""trips"": 68, ""dominant_pattern_trips"": 68, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1561"", ""origin_stop_name"": ""Terminus 27"", ""destination_stop_id"": ""A_1559"", ""destination_stop_name"": ""Petersen 2"", ""stops_in_dominant_pattern"": 41, ""trip_headsign"": """", ""trip_id_label"": ""Guediawaye MB""}}",74,126,"{""FULL"": 126}",06:12:39,20:39:57,0,SCHEDULE_PRESENT_HISTORICAL
AFTU,AFTU_28,A28HP,AFTU_28_Hamo VI_Petersen,AFTU,3,28,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 62, ""dominant_pattern_trips"": 62, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1559"", ""origin_stop_name"": ""Petersen 2"", ""destination_stop_id"": ""A_1562"", ""destination_stop_name"": ""Terminus 28"", ""stops_in_dominant_pattern"": 31, ""trip_headsign"": """", ""trip_id_label"": ""Petersen""}, ""1"": {""trips"": 70, ""dominant_pattern_trips"": 70, ""distinct_patterns"": 1, ""origin_stop_id"": ""A_1562"", ""origin_stop_name"": ""Terminus 28"", ""destination_stop_id"": ""A_1559"", ""destination_stop_name"": ""Petersen 2"", ""stops_in_dominant_pattern"": 32, ""trip_headsign"": """", ""trip_id_label"": ""Hamo VI""}}",60,132,"{""FULL"": 132}",05:31:00,20:44:00,0,SCHEDULE_PRESENT_HISTORICAL
