network,route_id,route_short_name,route_long_name,agency_id,route_type,line_number,line_number_status,direction_ids,directions,stops_count_distinct,trips_count,service_ids,premier_depart,dernier_depart,trips_without_stop_times,schedule_status
DDD,DDD_01,D1LP,DDD_01_LECLERC_PARCELLES-ASSAINIES,DDD,3,1,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 89, ""dominant_pattern_trips"": 89, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_140"", ""origin_stop_name"": ""Terminus Leclerc"", ""destination_stop_id"": ""D_805"", ""destination_stop_name"": ""Terminus Parcelles Assaines"", ""stops_in_dominant_pattern"": 43, ""trip_headsign"": """", ""trip_id_label"": ""LECLERC""}, ""1"": {""trips"": 119, ""dominant_pattern_trips"": 119, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_805"", ""origin_stop_name"": ""Terminus Parcelles Assaines"", ""destination_stop_id"": ""D_140"", ""destination_stop_name"": ""Terminus Leclerc"", ""stops_in_dominant_pattern"": 42, ""trip_headsign"": """", ""trip_id_label"": ""PARCELLES-ASSAINIES""}}",83,208,"{""LAV"": 72, ""SAMEDI"": 69, ""DIMANCHE"": 67}",05:50:00,22:55:26,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_02,D2DL,DDD_02_DAROUKHANE_LECLERC,DDD,3,2,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 79, ""dominant_pattern_trips"": 79, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_140"", ""origin_stop_name"": ""Terminus Leclerc"", ""destination_stop_id"": ""D_1056"", ""destination_stop_name"": ""Terminus Daroukhane"", ""stops_in_dominant_pattern"": 55, ""trip_headsign"": """", ""trip_id_label"": ""LECLERC""}, ""1"": {""trips"": 93, ""dominant_pattern_trips"": 93, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_1056"", ""origin_stop_name"": ""Terminus Daroukhane"", ""destination_stop_id"": ""D_140"", ""destination_stop_name"": ""Terminus Leclerc"", ""stops_in_dominant_pattern"": 49, ""trip_headsign"": """", ""trip_id_label"": ""DAROUKHANE""}}",102,172,"{""LAV"": 65, ""SAMEDI"": 56, ""DIMANCHE"": 51}",05:30:00,22:52:59,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_04,D4DL,DDD_04_DIEUPPEUL_LECLERC,DDD,3,4,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 75, ""dominant_pattern_trips"": 75, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_140"", ""origin_stop_name"": ""Terminus Leclerc"", ""destination_stop_id"": ""D_713"", ""destination_stop_name"": ""Terminus Liberté 5"", ""stops_in_dominant_pattern"": 37, ""trip_headsign"": """", ""trip_id_label"": ""LECLERC""}, ""1"": {""trips"": 81, ""dominant_pattern_trips"": 81, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_713"", ""origin_stop_name"": ""Terminus Liberté 5"", ""destination_stop_id"": ""D_140"", ""destination_stop_name"": ""Terminus Leclerc"", ""stops_in_dominant_pattern"": 36, ""trip_headsign"": """", ""trip_id_label"": ""DIEUPPEUL""}}",71,156,"{""LAV"": 54, ""SAMEDI"": 49, ""DIMANCHE"": 53}",06:00:00,22:23:50,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_05,D5GP,DDD_05_GUEDIAWAYE_PALAIS1,DDD,3,5,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 105, ""dominant_pattern_trips"": 105, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_709"", ""origin_stop_name"": ""Terminus Palais 1"", ""destination_stop_id"": ""D_1082"", ""destination_stop_name"": ""Terminus Guédiawayee"", ""stops_in_dominant_pattern"": 33, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS1""}, ""1"": {""trips"": 111, ""dominant_pattern_trips"": 111, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_1082"", ""origin_stop_name"": ""Terminus Guédiawayee"", ""destination_stop_id"": ""D_709"", ""destination_stop_name"": ""Terminus Palais 1"", ""stops_in_dominant_pattern"": 40, ""trip_headsign"": """", ""trip_id_label"": ""GUEDIAWAYE""}}",71,216,"{""LAV"": 87, ""SAMEDI"": 70, ""DIMANCHE"": 59}",05:30:00,22:29:08,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_06,D6CP,DDD_06_CAMBERENE_PALAIS2,DDD,3,6,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 78, ""dominant_pattern_trips"": 78, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_708"", ""origin_stop_name"": ""Terminus Palais 2"", ""destination_stop_id"": ""D_1227"", ""destination_stop_name"": ""Terminus Canberene 2"", ""stops_in_dominant_pattern"": 52, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS2""}, ""1"": {""trips"": 85, ""dominant_pattern_trips"": 85, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_1227"", ""origin_stop_name"": ""Terminus Canberene 2"", ""destination_stop_id"": ""D_708"", ""destination_stop_name"": ""Terminus Palais 2"", ""stops_in_dominant_pattern"": 58, ""trip_headsign"": """", ""trip_id_label"": ""CAMBERENE""}}",108,163,"{""LAV"": 56, ""SAMEDI"": 54, ""DIMANCHE"": 53}",05:45:00,22:51:49,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_07,D7OP,DDD_07_OUAKAM_PALAIS-02,DDD,3,7,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 138, ""dominant_pattern_trips"": 138, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_708"", ""origin_stop_name"": ""Terminus Palais 2"", ""destination_stop_id"": ""D_23"", ""destination_stop_name"": ""Terminus 7218 219"", ""stops_in_dominant_pattern"": 36, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS-02""}, ""1"": {""trips"": 160, ""dominant_pattern_trips"": 160, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_23"", ""origin_stop_name"": ""Terminus 7218 219"", ""destination_stop_id"": ""D_708"", ""destination_stop_name"": ""Terminus Palais 2"", ""stops_in_dominant_pattern"": 36, ""trip_headsign"": """", ""trip_id_label"": ""OUAKAM""}}",70,298,"{""LAV"": 109, ""SAMEDI"": 101, ""DIMANCHE"": 88}",05:45:00,22:01:02,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_08,D8PL,DDD_08_AEROPORT-LSS_PALAIS-02,DDD,3,8,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 99, ""dominant_pattern_trips"": 99, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_708"", ""origin_stop_name"": ""Terminus Palais 2"", ""destination_stop_id"": ""D_1229"", ""destination_stop_name"": ""AéRoport LéOpold SéDar Senghor"", ""stops_in_dominant_pattern"": 47, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS-02""}, ""1"": {""trips"": 103, ""dominant_pattern_trips"": 103, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_1229"", ""origin_stop_name"": ""AéRoport LéOpold SéDar Senghor"", ""destination_stop_id"": ""D_708"", ""destination_stop_name"": ""Terminus Palais 2"", ""stops_in_dominant_pattern"": 50, ""trip_headsign"": """", ""trip_id_label"": ""AEROPORT-LSS""}}",95,202,"{""LAV"": 64, ""SAMEDI"": 64, ""DIMANCHE"": 74}",06:00:00,22:26:45,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_09,D9P0,DDD_09_LIBERTE-06_PALAIS-02,DDD,3,9,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 120, ""dominant_pattern_trips"": 120, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_708"", ""origin_stop_name"": ""Terminus Palais 2"", ""destination_stop_id"": ""D_450"", ""destination_stop_name"": ""Terminus 9 Liberté 6"", ""stops_in_dominant_pattern"": 32, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS-02""}, ""1"": {""trips"": 117, ""dominant_pattern_trips"": 117, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_450"", ""origin_stop_name"": ""Terminus 9 Liberté 6"", ""destination_stop_id"": ""D_708"", ""destination_stop_name"": ""Terminus Palais 2"", ""stops_in_dominant_pattern"": 34, ""trip_headsign"": """", ""trip_id_label"": ""LIBERTE-06""}}",64,237,"{""LAV"": 93, ""SAMEDI"": 74, ""DIMANCHE"": 70}",05:50:00,21:59:44,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_10,D10LP,DDD_10_LIBERTE 5_PALAIS-02,DDD,3,10,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 86, ""dominant_pattern_trips"": 86, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_708"", ""origin_stop_name"": ""Terminus Palais 2"", ""destination_stop_id"": ""D_713"", ""destination_stop_name"": ""Terminus Liberté 5"", ""stops_in_dominant_pattern"": 34, ""trip_headsign"": """", ""trip_id_label"": ""PALAIS-02""}, ""1"": {""trips"": 99, ""dominant_pattern_trips"": 99, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_713"", ""origin_stop_name"": ""Terminus Liberté 5"", ""destination_stop_id"": ""D_708"", ""destination_stop_name"": ""Terminus Palais 2"", ""stops_in_dominant_pattern"": 30, ""trip_headsign"": """", ""trip_id_label"": ""LIBERTE 5""}}",62,185,"{""LAV"": 58, ""SAMEDI"": 75, ""DIMANCHE"": 52}",06:00:00,22:26:08,0,SCHEDULE_PRESENT_HISTORICAL
DDD,DDD_11,D11KL,DDD_11_KEUR MASSAR_LAT DIOR,DDD,3,11,COHERENT (route_short_name = route_id = route_long_name),0/1,"{""0"": {""trips"": 83, ""dominant_pattern_trips"": 83, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_1266"", ""origin_stop_name"": ""Lat-Dior"", ""destination_stop_id"": ""D_989"", ""destination_stop_name"": ""Terminus Keur Massar"", ""stops_in_dominant_pattern"": 48, ""trip_headsign"": """", ""trip_id_label"": ""LAT DIOR""}, ""1"": {""trips"": 103, ""dominant_pattern_trips"": 103, ""distinct_patterns"": 1, ""origin_stop_id"": ""D_989"", ""origin_stop_name"": ""Terminus Keur Massar"", ""destination_stop_id"": ""D_1266"", ""destination_stop_name"": ""Lat-Dior"", ""stops_in_dominant_pattern"": 49, ""trip_headsign"": """", ""trip_id_label"": ""KEUR MASSAR""}}",95,186,"{""LAV"": 66, ""SAMEDI"": 59, ""DIMANCHE"": 61}",05:30:00,23:25:34,0,SCHEDULE_PRESENT_HISTORICAL
