network,route_id,line_number,route_short_name,direction_id,origine,destination,trip_id_label_depart,service_id,service_days,trips,premier_depart,dernier_depart,headway_obs_median_min,headway_obs_min_min,headway_obs_max_min,frequence_declaree
AFTU,AFTU_1,1,A1HL,0,Lat Dior,Terminus 1 Face Keur Yoff,LAT-DIOR,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,60,06:58:13,19:33:43,5.7,5.7,40.3,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_1,1,A1HL,1,Terminus 1 Face Keur Yoff,Lat Dior,HLM-GR-YOFF,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,54,06:33:33,19:30:37,6.8,6.8,37.3,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_2,2,A2PP,0,Petersen 1,Terminus Parcelles Assainies,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,75,06:22:03,19:33:27,5.9,5.9,22.4,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_2,2,A2PP,1,Terminus Parcelles Assainies,Petersen 1,Parcelles-Assainies,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,74,06:40:09,19:33:49,6.0,6.0,22.8,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_3,3,A3PY,0,Yoff,Petersen 1,Yoff,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,89,04:55:11,19:31:26,11.7,5.5,17.2,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_3,3,A3PY,1,Petersen 1,Yoff,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,86,05:10:58,19:33:32,11.6,5.4,18.4,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_4,4,A4PY,0,Yoff,Petersen 1,Yoff,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,86,05:38:40,19:31:22,10.2,5.5,17.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_4,4,A4PY,1,Petersen 1,Yoff,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,85,06:31:09,19:32:53,7.7,6.0,18.0,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_5,5,A5PP,0,Petersen 1,Terminus Parcelles Assainies,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,83,07:09:55,19:32:48,5.5,5.5,19.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_5,5,A5PP,1,Terminus Parcelles Assainies,Petersen 1,Parcelles-Assainies,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,86,06:13:42,19:30:46,5.2,5.2,18.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_24,24,A24NU,0,Terminus 24 En Face Ucad,Terminus 24 64,UCAD,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,72,05:47:04,19:30:34,12.2,6.4,21.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_24,24,A24NU,1,Terminus 24 64,Librairie Clairafrique,Notaire,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,80,05:07:21,19:32:46,5.2,5.2,21.9,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_25,25,A25PP,0,Petersen 1,Terminus Parcelles Assainies,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,88,06:42:11,19:33:02,4.8,4.8,20.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_25,25,A25PP,1,Terminus Parcelles Assainies,Petersen 1,Parcelle-Assainies,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,95,05:56:46,19:30:54,4.5,4.5,19.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_26,26,A26PP,0,Station Ciel Oil,Terminus Parcelles Assainies,Poste-Thiaroye,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,88,06:00:22,19:30:17,8.9,5.6,16.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_26,26,A26PP,1,Face Brigade Nationale Des Sapeurs Pompiers Parcelle Assainies,Station Ciel Oil,Parcelle-Assainies,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,94,06:17:38,19:30:21,4.4,4.4,19.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_27,27,A27GP,0,Armurerie Coutellerie Amadou Niang,Terminus 27,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,58,06:49:33,19:44:34,9.1,7.9,27.9,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_27,27,A27GP,1,Terminus 27,Petersen 2,Guediawaye MB,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,68,06:12:39,19:34:19,6.5,6.5,25.4,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_28,28,A28HP,0,Petersen 2,Terminus 28,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,62,06:28:49,19:34:55,7.4,7.4,27.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_28,28,A28HP,1,Terminus 28,Petersen 2,Hamo VI,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,70,05:31:00,19:34:41,6.1,6.1,25.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_29,29,A29MP,0,Petersen 1,Terminus 29,Petersen,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,84,06:16:49,19:35:01,5.2,5.2,19.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_29,29,A29MP,1,Terminus 29,Petersen 1,Malibu,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,98,05:10:50,19:31:47,4.5,4.5,17.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_30,30,A30CG,0,Terminus 30 49,Colobane,Gadaye,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,71,05:29:19,19:32:56,6.0,6.0,24.4,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_30,30,A30CG,1,Colobane,Terminus 30 49,Colobane,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,64,05:50:45,19:30:43,13.0,7.5,23.5,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_31,31,A31ST,1,Sham Terminus 32  31,Texaco,Sham,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,75,06:07:30,19:33:49,6.2,6.2,21.3,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_32,32,A32DS,0,Sham Terminus 32  31,Serigne Assane Terminus 32 33,Sham,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,64,06:22:26,19:30:26,11.1,7.7,23.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_32,32,A32DS,1,Serigne Assane Terminus 32 33,Sham Terminus 32  31,Daroukhane,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,74,05:32:42,19:35:47,5.9,5.9,22.9,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_33,33,A33CD,0,Serigne Assane Terminus 32 33,Gare Routiére De Colobane,Daroukane,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,65,05:38:51,19:30:27,6.8,6.8,25.8,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_33,33,A33CD,1,Gare Routiére De Colobane,Serigne Assane Terminus 32 33,Colobane,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,62,05:56:26,19:30:12,13.1,7.9,24.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_34,34,A34LN,0,Ecole Japonaise Nord Foire,Lat Dior,Nord-Foire,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,76,06:08:39,19:30:49,5.9,5.9,21.4,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_34,34,A34LN,1,Lat Dior,Ecole Japonaise Nord Foire,LAT-DIOR,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,94,06:18:45,19:32:38,3.8,3.8,23.1,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_35,35,A35NP,0,Texaco,Garage Ngor,Pikine-Texaco,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,94,05:12:52,19:34:08,10.1,5.4,15.8,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_35,35,A35NP,1,Garage Ngor,Texaco,Ngor,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,83,06:07:23,19:35:52,9.1,6.2,17.7,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_36,36,A36DN,0,Garage Ngor,Serigne Assane Terminus 36 46 70,Ngor,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,77,06:24:12,19:35:38,8.8,6.8,18.5,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_36,36,A36DN,1,Serigne Assane Terminus 36 46 70,Garage Ngor,Daroukhane,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,89,05:27:12,19:34:48,5.2,5.2,18.2,AUCUNE (pas de frequencies.txt)
AFTU,AFTU_37,37,A37AU,0,Terminus 37 71,Terminus 37 50,UCAD,FULL,monday/tuesday/wednesday/thursday/friday/saturday/sunday,54,05:59:47,19:30:08,7.9,7.9,31.1,AUCUNE (pas de frequencies.txt)
