network,route_id,line_number,route_short_name,direction_id,origine,destination,trip_id_label_depart,service_id,service_days,trips,premier_depart,dernier_depart,headway_obs_median_min,headway_obs_min_min,headway_obs_max_min,frequence_declaree
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_1,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_2,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_3,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_4,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_5,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_6,calendar_dates seulement,140,06:03:30,19:57:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_1,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_2,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_3,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_4,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_5,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B2,B2,B2,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_6,calendar_dates seulement,149,07:03:30,20:57:30,6.0,1.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_1,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_2,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_3,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_4,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_5,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,0_6,calendar_dates seulement,151,06:00:30,21:00:30,6.0,6.0,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=GUEDIAWAYE,GUEDIAWAYE,PETERSEN,PETERSEN,1_7,calendar_dates seulement,116,06:00:30,20:55:30,7.0,7.0,10.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_1,calendar_dates seulement,164,06:00:30,21:00:30,6.0,0.5,6.0,AUCUNE (pas de frequencies.txt)
BRT,B1,B1,B1,orig=PETERSEN,PETERSEN,GUEDIAWAYE,GUEDIAWAYE,0_2,calendar_dates seulement,164,06:00:30,21:00:30,6.0,0.5,6.0,AUCUNE (pas de frequencies.txt)
