network,route_id,line_number,route_short_name,direction_id,origine,destination,trip_id_label_depart,service_id,service_days,trips,premier_depart,dernier_depart,headway_obs_median_min,headway_obs_min_min,headway_obs_max_min,frequence_declaree
DDD,DDD_01,1,D1LP,0,Terminus Leclerc,Terminus Parcelles Assaines,LECLERC,DIMANCHE,sunday,31,06:30:00,21:30:00,30.0,30.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_01,1,D1LP,0,Terminus Leclerc,Terminus Parcelles Assaines,LECLERC,LAV,monday/tuesday/wednesday/thursday/friday,31,05:50:00,22:05:00,32.5,30.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_01,1,D1LP,0,Terminus Leclerc,Terminus Parcelles Assaines,LECLERC,SAMEDI,saturday,27,06:00:00,21:10:00,35.0,35.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_01,1,D1LP,1,Terminus Parcelles Assaines,Terminus Leclerc,PARCELLES-ASSAINIES,DIMANCHE,sunday,36,06:30:00,21:05:00,25.0,25.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_01,1,D1LP,1,Terminus Parcelles Assaines,Terminus Leclerc,PARCELLES-ASSAINIES,LAV,monday/tuesday/wednesday/thursday/friday,41,05:50:00,21:40:00,20.0,20.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_01,1,D1LP,1,Terminus Parcelles Assaines,Terminus Leclerc,PARCELLES-ASSAINIES,SAMEDI,saturday,42,06:00:00,21:10:00,20.0,20.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,0,Terminus Leclerc,Terminus Daroukhane,LECLERC,DIMANCHE,sunday,25,06:30:00,21:25:00,35.0,35.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,0,Terminus Leclerc,Terminus Daroukhane,LECLERC,LAV,monday/tuesday/wednesday/thursday/friday,30,05:30:00,21:50:00,30.0,30.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,0,Terminus Leclerc,Terminus Daroukhane,LECLERC,SAMEDI,saturday,24,06:00:00,21:05:00,35.0,35.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,1,Terminus Daroukhane,Terminus Leclerc,DAROUKHANE,DIMANCHE,sunday,26,06:30:00,21:30:00,30.0,30.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,1,Terminus Daroukhane,Terminus Leclerc,DAROUKHANE,LAV,monday/tuesday/wednesday/thursday/friday,35,05:30:00,21:50:00,25.0,25.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_02,2,D2DL,1,Terminus Daroukhane,Terminus Leclerc,DAROUKHANE,SAMEDI,saturday,32,06:00:00,21:05:00,25.0,25.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,0,Terminus Leclerc,Terminus Liberté 5,LECLERC,DIMANCHE,sunday,30,07:00:00,21:30:00,30.0,30.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,0,Terminus Leclerc,Terminus Liberté 5,LECLERC,LAV,monday/tuesday/wednesday/thursday/friday,24,06:00:00,21:05:00,35.0,35.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,0,Terminus Leclerc,Terminus Liberté 5,LECLERC,SAMEDI,saturday,21,06:30:00,21:30:00,45.0,45.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,1,Terminus Liberté 5,Terminus Leclerc,DIEUPPEUL,DIMANCHE,sunday,23,07:00:00,21:40:00,40.0,40.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,1,Terminus Liberté 5,Terminus Leclerc,DIEUPPEUL,LAV,monday/tuesday/wednesday/thursday/friday,30,06:00:00,21:25:00,25.0,25.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_04,4,D4DL,1,Terminus Liberté 5,Terminus Leclerc,DIEUPPEUL,SAMEDI,saturday,28,06:30:00,21:05:00,25.0,25.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,0,Terminus Palais 1,Terminus Guédiawayee,PALAIS1,DIMANCHE,sunday,28,06:30:00,21:05:00,30.0,30.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,0,Terminus Palais 1,Terminus Guédiawayee,PALAIS1,LAV,monday/tuesday/wednesday/thursday/friday,42,05:30:00,21:40:00,20.0,20.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,0,Terminus Palais 1,Terminus Guédiawayee,PALAIS1,SAMEDI,saturday,35,06:00:00,21:25:00,25.0,25.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,1,Terminus Guédiawayee,Terminus Palais 1,GUEDIAWAYE,DIMANCHE,sunday,31,06:30:00,21:30:00,30.0,30.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,1,Terminus Guédiawayee,Terminus Palais 1,GUEDIAWAYE,LAV,monday/tuesday/wednesday/thursday/friday,45,05:30:00,21:40:00,20.0,20.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_05,5,D5GP,1,Terminus Guédiawayee,Terminus Palais 1,GUEDIAWAYE,SAMEDI,saturday,35,06:00:00,21:25:00,25.0,25.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,0,Terminus Palais 2,Terminus Canberene 2,PALAIS2,DIMANCHE,sunday,25,06:30:00,21:25:00,35.0,35.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,0,Terminus Palais 2,Terminus Canberene 2,PALAIS2,LAV,monday/tuesday/wednesday/thursday/friday,27,05:45:00,21:50:00,35.0,35.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,0,Terminus Palais 2,Terminus Canberene 2,PALAIS2,SAMEDI,saturday,26,06:00:00,21:30:00,35.0,35.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,1,Terminus Canberene 2,Terminus Palais 2,CAMBERENE,DIMANCHE,sunday,28,06:30:00,21:05:00,30.0,30.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,1,Terminus Canberene 2,Terminus Palais 2,CAMBERENE,LAV,monday/tuesday/wednesday/thursday/friday,29,05:45:00,21:35:00,30.0,30.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_06,6,D6CP,1,Terminus Canberene 2,Terminus Palais 2,CAMBERENE,SAMEDI,saturday,28,06:00:00,21:20:00,30.0,30.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,0,Terminus Palais 2,Terminus 7218 219,PALAIS-02,DIMANCHE,sunday,44,07:00:00,21:20:00,20.0,20.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,0,Terminus Palais 2,Terminus 7218 219,PALAIS-02,LAV,monday/tuesday/wednesday/thursday/friday,47,05:45:00,21:05:00,20.0,20.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,0,Terminus Palais 2,Terminus 7218 219,PALAIS-02,SAMEDI,saturday,47,06:00:00,21:20:00,20.0,20.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,1,Terminus 7218 219,Terminus Palais 2,OUAKAM,DIMANCHE,sunday,44,07:00:00,21:20:00,20.0,20.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,1,Terminus 7218 219,Terminus Palais 2,OUAKAM,LAV,monday/tuesday/wednesday/thursday/friday,62,05:45:00,21:01:00,12.0,12.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_07,7,D7OP,1,Terminus 7218 219,Terminus Palais 2,OUAKAM,SAMEDI,saturday,54,06:00:00,21:05:00,15.0,15.0,20.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,0,Terminus Palais 2,AéRoport LéOpold SéDar Senghor,PALAIS-02,DIMANCHE,sunday,38,06:30:00,21:20:00,20.0,20.0,30.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,0,Terminus Palais 2,AéRoport LéOpold SéDar Senghor,PALAIS-02,LAV,monday/tuesday/wednesday/thursday/friday,29,06:00:00,21:05:00,30.0,30.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,0,Terminus Palais 2,AéRoport LéOpold SéDar Senghor,PALAIS-02,SAMEDI,saturday,32,06:00:00,21:05:00,25.0,25.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,1,AéRoport LéOpold SéDar Senghor,Terminus Palais 2,AEROPORT-LSS,DIMANCHE,sunday,36,06:30:00,21:05:00,25.0,25.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,1,AéRoport LéOpold SéDar Senghor,Terminus Palais 2,AEROPORT-LSS,LAV,monday/tuesday/wednesday/thursday/friday,35,06:00:00,21:20:00,20.0,20.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_08,8,D8PL,1,AéRoport LéOpold SéDar Senghor,Terminus Palais 2,AEROPORT-LSS,SAMEDI,saturday,32,06:00:00,21:05:00,25.0,25.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,0,Terminus Palais 2,Terminus 9 Liberté 6,PALAIS-02,DIMANCHE,sunday,35,07:00:00,21:10:00,25.0,25.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,0,Terminus Palais 2,Terminus 9 Liberté 6,PALAIS-02,LAV,monday/tuesday/wednesday/thursday/friday,43,05:50:00,21:20:00,20.0,20.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,0,Terminus Palais 2,Terminus 9 Liberté 6,PALAIS-02,SAMEDI,saturday,42,06:00:00,21:10:00,20.0,20.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,1,Terminus 9 Liberté 6,Terminus Palais 2,LIBERTE-06,DIMANCHE,sunday,35,07:00:00,21:10:00,25.0,25.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,1,Terminus 9 Liberté 6,Terminus Palais 2,LIBERTE-06,LAV,monday/tuesday/wednesday/thursday/friday,50,05:50:00,21:05:00,15.0,15.0,25.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_09,9,D9P0,1,Terminus 9 Liberté 6,Terminus Palais 2,LIBERTE-06,SAMEDI,saturday,32,06:00:00,21:05:00,25.0,25.0,35.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_10,10,D10LP,0,Terminus Palais 2,Terminus Liberté 5,PALAIS-02,DIMANCHE,sunday,26,07:00:00,21:20:00,30.0,30.0,40.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_10,10,D10LP,0,Terminus Palais 2,Terminus Liberté 5,PALAIS-02,LAV,monday/tuesday/wednesday/thursday/friday,27,06:00:00,21:30:00,30.0,30.0,45.0,AUCUNE (pas de frequencies.txt)
DDD,DDD_10,10,D10LP,0,Terminus Palais 2,Terminus Liberté 5,PALAIS-02,SAMEDI,saturday,33,06:30:00,21:05:00,25.0,25.0,30.0,AUCUNE (pas de frequencies.txt)
