network,route_id,line_number,route_short_name,direction_id,origine,destination,trip_id_label_depart,service_id,service_days,trips,premier_depart,dernier_depart,headway_obs_median_min,headway_obs_min_min,headway_obs_max_min,frequence_declaree
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,1ed51a8d-1fbd-4ba5-f69a-bb6798679894,sunday,51,06:25:00,22:05:00,20.0,5.0,20.0,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,38f23463-d512-5c3f-6ed7-33132080f1e8,monday/tuesday/wednesday/thursday/friday/saturday,79,05:30:00,22:06:00,12.0,12.0,24.0,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,4cd85026-70ce-fee8-af22-6008c0215228,saturday,1,11:00:00,11:00:00,,,,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,4db2746d-049c-77fc-60e7-928aab2fc765,thursday/friday,2,06:18:00,06:47:06,29.1,29.1,29.1,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,68f0b070-0d73-aa17-88ce-ed18734f1fee,monday/tuesday/wednesday/thursday/friday,2,06:35:00,06:47:06,12.1,12.1,12.1,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,75be6f61-e1f2-c62b-c602-0ba9ba92a5eb,friday/saturday,2,20:06:00,20:30:00,24.0,24.0,24.0,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,8a62eb4e-3a8e-7ba3-a39b-4df1c864209a,wednesday/thursday/friday/saturday,69,06:30:14,22:06:00,12.0,6.3,36.1,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,ac8d71e0-9004-ff7f-e71d-251a8d28201f,wednesday/thursday/friday,5,05:29:59,06:35:18,12.3,11.5,29.3,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,cec3ed22-c370-134c-6a0c-ec3b6a3117e6,thursday/friday/saturday,5,06:54:00,11:30:00,72.0,12.0,120.0,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,d8799802-fcc1-014a-94c9-a2270693cc9f,saturday,1,11:00:00,11:00:00,,,,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,db5eb1cc-bd0f-b516-2ab4-b4cf1998f578,sunday,51,06:25:00,22:05:00,20.0,5.0,20.0,AUCUNE (pas de frequencies.txt)
TER,4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20001,20001,0,Diamniadio,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,fa54f07d-702e-e4cc-6400-6efff8c64d25,friday/saturday,2,20:06:00,20:30:00,24.0,24.0,24.0,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,1ed51a8d-1fbd-4ba5-f69a-bb6798679894,sunday,50,06:25:00,22:05:00,20.0,2.0,20.0,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,38f23463-d512-5c3f-6ed7-33132080f1e8,monday/tuesday/wednesday/thursday/friday/saturday,81,05:30:00,22:06:00,12.0,12.0,24.0,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,4db2746d-049c-77fc-60e7-928aab2fc765,thursday/friday,3,05:54:00,06:18:00,12.0,12.0,12.0,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,8a62eb4e-3a8e-7ba3-a39b-4df1c864209a,wednesday/thursday/friday/saturday,60,06:30:35,22:06:00,12.0,10.4,36.3,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,ac8d71e0-9004-ff7f-e71d-251a8d28201f,wednesday/thursday/friday,2,05:30:40,05:42:30,11.8,11.8,11.8,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,cec3ed22-c370-134c-6a0c-ec3b6a3117e6,thursday/friday/saturday,16,06:42:00,14:30:00,24.0,12.0,72.0,AUCUNE (pas de frequencies.txt)
TER,544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,10001,10001,1,Dakar - Gare ferroviaire,Diamniadio,Diamniadio,db5eb1cc-bd0f-b516-2ab4-b4cf1998f578,sunday,50,06:25:00,22:05:00,20.0,2.0,20.0,AUCUNE (pas de frequencies.txt)
TER,f8ec6c04-478a-40e1-842c-5c9ca5030109-544a27a5-c6c6-4b70-b217-9c15d9b4278a,20922,20922,0,Yeumbeul,Dakar - Gare ferroviaire,Dakar - Gare ferroviaire,68f0b070-0d73-aa17-88ce-ed18734f1fee,monday/tuesday/wednesday/thursday/friday,2,08:08:48,09:20:00,71.2,71.2,71.2,AUCUNE (pas de frequencies.txt)
