route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc
BRT_01,BRT,BRT 01,Guédiawaye - Petersen,3,8B5CF6,FFFFFF,BRT SunuBRT - Voie dédiée - 23 stations
DDD_10,DDD,10,Petersen - Yoff - Almadies,3,3B82F6,FFFFFF,Dakar Dem Dikk L10
DDD_07,DDD,7,Colobane - Pikine - Keur Massar,3,3B82F6,FFFFFF,DDD L7
DDD_12,DDD,12,Guédiawaye - Parcelles - Petersen,3,3B82F6,FFFFFF,DDD L12
DDD_23,DDD,23,Plateau - Ouakam - Ngor,3,3B82F6,FFFFFF,DDD L23
TATA_01,AFTU,TATA 01,Colobane - Pikine,3,F59E0B,000000,Car Rapide
TATA_02,AFTU,TATA 02,Petersen - Parcelles,3,F59E0B,000000,Car Rapide
TER_01,TER,TER,Dakar - Diamniadio,2,10B981,FFFFFF,TER 13 gares officielles
AFTU_01,AFTU,01,Guédiawaye - Yoff,3,EC4899,FFFFFF,AFTU L01
AFTU_02,AFTU,2,Parcelles Assainies - Petersen,3,EC4899,FFFFFF,AFTU Ligne 2 - Parcelles - Petersen
AFTU_03,AFTU,3,Grand Yoff - Petersen,3,F59E0B,000000,AFTU Ligne 3 - Grand Yoff - Petersen
AFTU_04,AFTU,4,Keur Massar - Petersen,3,EC4899,FFFFFF,AFTU Ligne 4 - Keur Massar - Petersen
AFTU_05,AFTU,5,Guédiawaye - Palais,3,F59E0B,000000,AFTU Ligne 5 - Guédiawaye - Palais
AFTU_06,AFTU,6,Parcelles - Colobane,3,EC4899,FFFFFF,AFTU Ligne 6 - Parcelles - Colobane
AFTU_07,AFTU,7,Ouakam - Petersen,3,F59E0B,000000,AFTU Ligne 7 - Ouakam - Petersen
AFTU_08,AFTU,8,Yoff - Petersen,3,EC4899,FFFFFF,AFTU Ligne 8 - Yoff - Petersen
AFTU_09,AFTU,9,Guédiawaye - Colobane,3,F59E0B,000000,AFTU Ligne 9 - Guédiawaye - Colobane
AFTU_11,AFTU,11,Malika - Petersen,3,F59E0B,000000,AFTU Ligne 11 - Malika - Petersen
AFTU_12,AFTU,12,Keur Massar - HLM,3,EC4899,FFFFFF,AFTU Ligne 12 - Keur Massar - HLM
AFTU_13,AFTU,13,Rufisque - Petersen,3,F59E0B,000000,AFTU Ligne 13 - Rufisque - Petersen
AFTU_14,AFTU,14,Parcelles - Yoff,3,EC4899,FFFFFF,AFTU Ligne 14 - Parcelles - Yoff
AFTU_15,AFTU,15,Guédiawaye - Fass,3,F59E0B,000000,AFTU Ligne 15 - Guédiawaye - Fass
AFTU_16,AFTU,16,Pikine - Petersen,3,EC4899,FFFFFF,AFTU Ligne 16 - Pikine - Petersen
AFTU_17,AFTU,17,Keur Massar - Petersen,3,F59E0B,000000,AFTU Ligne 17 - Keur Massar - Petersen
AFTU_18,AFTU,18,Guédiawaye - Plateau,3,EC4899,FFFFFF,AFTU Ligne 18 - Guédiawaye - Plateau
AFTU_19,AFTU,19,Thiaroye - Petersen,3,F59E0B,000000,AFTU Ligne 19 - Thiaroye - Petersen
AFTU_20,AFTU,20,Mbao - Petersen,3,EC4899,FFFFFF,AFTU Ligne 20 - Mbao - Petersen
AFTU_21,AFTU,21,Keur Massar - Colobane,3,F59E0B,000000,AFTU Ligne 21 - Keur Massar - Colobane
AFTU_22,AFTU,22,Guédiawaye - Patte d'Oie,3,EC4899,FFFFFF,AFTU Ligne 22 - Guédiawaye - Patte d'Oie
AFTU_24,AFTU,24,Parcelles - Petersen,3,EC4899,FFFFFF,AFTU Ligne 24 - Parcelles - Petersen
AFTU_25,AFTU,25,Hamo - Petersen,3,F59E0B,000000,AFTU Ligne 25 - Hamo - Petersen
AFTU_26,AFTU,26,Boubess - Petersen,3,EC4899,FFFFFF,AFTU Ligne 26 - Marché Boubess - Petersen
AFTU_27,AFTU,27,Hamo - Petersen,3,F59E0B,000000,AFTU Ligne 27 - Hamo V/VI - Petersen
AFTU_28,AFTU,28,Gadaye - Colobane,3,EC4899,FFFFFF,AFTU Ligne 28 - Gadaye - Colobane
AFTU_29,AFTU,29,Gadaye - Colobane,3,F59E0B,000000,AFTU Ligne 29 - Gadaye - Colobane
AFTU_30,AFTU,30,Guédiawaye - Colobane,3,EC4899,FFFFFF,AFTU Ligne 30 - Guédiawaye - Colobane
AFTU_31,AFTU,31,Ngor - Guédiawaye,3,F59E0B,000000,AFTU Ligne 31 - Ngor - Guédiawaye
AFTU_32,AFTU,32,Gueule Tapée - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 32 - Gueule Tapée - Guédiawaye
AFTU_33,AFTU,33,Colobane - Guédiawaye,3,F59E0B,000000,AFTU Ligne 33 - Colobane - Guédiawaye
AFTU_34,AFTU,34,Rebeuss - Yoff,3,EC4899,FFFFFF,AFTU Ligne 34 - Rebeuss - Yoff
AFTU_35,AFTU,35,Petersen - Golf,3,F59E0B,000000,AFTU Ligne 35 - Petersen - Golf
AFTU_36,AFTU,36,Ngor - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 36 - Ngor - Guédiawaye
AFTU_37,AFTU,37,Rebeuss - Guédiawaye,3,F59E0B,000000,AFTU Ligne 37 - Rebeuss - Guédiawaye
AFTU_38,AFTU,38,Gueule Tapée - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 38 - Gueule Tapée - Guédiawaye
AFTU_39,AFTU,39,Parcelles - Rebeuss,3,F59E0B,000000,AFTU Ligne 39 - Parcelles - Rebeuss
AFTU_40,AFTU,40,Petersen - Madiale,3,EC4899,FFFFFF,AFTU Ligne 40 - Petersen - Etage Madiale
AFTU_41,AFTU,41,Gadaye - Rebeuss,3,F59E0B,000000,AFTU Ligne 41 - Gadaye - Rebeuss
AFTU_42,AFTU,42,Guédiawaye - Ouakam,3,EC4899,FFFFFF,AFTU Ligne 42 - Guédiawaye - Ouakam
AFTU_43,AFTU,43,Keur Massar - Ouakam,3,F59E0B,000000,AFTU Ligne 43 - Keur Massar - Ouakam
AFTU_44,AFTU,44,Pikine - Ouakam,3,EC4899,FFFFFF,AFTU Ligne 44 - Pikine - Ouakam
AFTU_45,AFTU,45,Keur Massar - Plateau,3,F59E0B,000000,AFTU Ligne 45 - Keur Massar - Plateau
AFTU_46,AFTU,46,Rebeuss - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 46 - Rebeuss - Guédiawaye
AFTU_47,AFTU,47,Camp Vert - Rebeuss,3,F59E0B,000000,AFTU Ligne 47 - Camp Vert - Rebeuss
AFTU_48,AFTU,48,Gadaye - Ngor,3,EC4899,FFFFFF,AFTU Ligne 48 - Gadaye - Ngor
AFTU_49,AFTU,49,Petersen - Malika,3,F59E0B,000000,AFTU Ligne 49 - Petersen - Malika Cimetière
AFTU_50,AFTU,50,Malika - Rebeuss,3,EC4899,FFFFFF,AFTU Ligne 50 - Malika - Rebeuss
AFTU_51,AFTU,51,Rufisque - Gendarmerie,3,F59E0B,000000,AFTU Ligne 51 - Rufisque - Cité Gendarmerie
AFTU_52,AFTU,52,Keur Massar - Petersen,3,EC4899,FFFFFF,AFTU Ligne 52 - Keur Massar - Petersen
AFTU_53,AFTU,53,Lac Rose - Sébikhotane,3,F59E0B,000000,AFTU Ligne 53 - Lac Rose - Sébikhotane
AFTU_54,AFTU,54,Rufisque - Petersen,3,EC4899,FFFFFF,AFTU Ligne 54 - Rufisque - Petersen
AFTU_55,AFTU,55,Jaxaay - Petersen,3,F59E0B,000000,AFTU Ligne 55 - Jaxaay - Petersen
AFTU_56,AFTU,56,Liberté 6 - Rufisque,3,EC4899,FFFFFF,AFTU Ligne 56 - Liberté 6 - Rufisque
AFTU_57,AFTU,57,Keur Massar - Petersen,3,F59E0B,000000,AFTU Ligne 57 - Keur Massar - Petersen
AFTU_58,AFTU,58,Mbao - Gueule Tapée,3,EC4899,FFFFFF,AFTU Ligne 58 - Mbao - Gueule Tapée
AFTU_60,AFTU,60,Bargny - Colobane,3,EC4899,FFFFFF,AFTU Ligne 60 - Bargny - Colobane
AFTU_61,AFTU,61,Keur Massar - Mamelles,3,F59E0B,000000,AFTU Ligne 61 - Keur Massar - Mamelles
AFTU_62,AFTU,62,Rufisque - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 62 - Rufisque - Guédiawaye
AFTU_63,AFTU,63,Guédiawaye - Rufisque,3,F59E0B,000000,AFTU Ligne 63 - Guédiawaye - Rufisque
AFTU_64,AFTU,64,Colobane - Jaxaay,3,EC4899,FFFFFF,AFTU Ligne 64 - Colobane - Jaxaay
AFTU_65,AFTU,65,Jaxaay - Colobane,3,F59E0B,000000,AFTU Ligne 65 - Jaxaay - Colobane
AFTU_66,AFTU,66,Gorom - Yoff,3,EC4899,FFFFFF,AFTU Ligne 66 - Gorom - Yoff
AFTU_67,AFTU,67,Ouakam - Rufisque,3,F59E0B,000000,AFTU Ligne 67 - Ouakam - Rufisque
AFTU_70,AFTU,70,Jaxaay - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 70 - Jaxaay - Guédiawaye
AFTU_71,AFTU,71,Guédiawaye - Kounoune,3,F59E0B,000000,AFTU Ligne 71 - Guédiawaye - Kounoune
AFTU_72,AFTU,72,Kounoune - Guédiawaye,3,EC4899,FFFFFF,AFTU Ligne 72 - Kounoune - Guédiawaye
AFTU_73,AFTU,73,Lac Rose - Thiaroye,3,F59E0B,000000,AFTU Ligne 73 - Lac Rose - Thiaroye
