shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BRT_01_shape,14.67548,-17.44157,1
BRT_01_shape,14.677,-17.4418,2
BRT_01_shape,14.67822,-17.44219,3
BRT_01_shape,14.6815,-17.4435,4
BRT_01_shape,14.6855,-17.445,5
BRT_01_shape,14.69,-17.4468,6
BRT_01_shape,14.6943,-17.44826,7
BRT_01_shape,14.697,-17.4502,8
BRT_01_shape,14.69956,-17.45244,9
BRT_01_shape,14.7025,-17.4552,10
BRT_01_shape,14.7052,-17.4578,11
BRT_01_shape,14.7075,-17.4602,12
BRT_01_shape,14.70993,-17.4625,13
BRT_01_shape,14.7135,-17.463,14
BRT_01_shape,14.7166,-17.4635,15
BRT_01_shape,14.7185,-17.464,16
BRT_01_shape,14.72044,-17.46444,17
BRT_01_shape,14.723,-17.4625,18
BRT_01_shape,14.72631,-17.45919,19
BRT_01_shape,14.729,-17.4575,20
BRT_01_shape,14.7315,-17.456,21
BRT_01_shape,14.7345,-17.4556,22
BRT_01_shape,14.73681,-17.45531,23
BRT_01_shape,14.739,-17.4535,24
BRT_01_shape,14.74156,-17.45131,25
BRT_01_shape,14.7448,-17.449,26
BRT_01_shape,14.74795,-17.44715,27
BRT_01_shape,14.7495,-17.4435,28
BRT_01_shape,14.7512,-17.4395,29
BRT_01_shape,14.7525,-17.4355,30
BRT_01_shape,14.75369,-17.43181,31
BRT_01_shape,14.7565,-17.4285,32
BRT_01_shape,14.7595,-17.426,33
BRT_01_shape,14.76269,-17.42431,34
BRT_01_shape,14.764,-17.4215,35
BRT_01_shape,14.76462,-17.41969,36
BRT_01_shape,14.766,-17.4165,37
BRT_01_shape,14.76756,-17.41356,38
BRT_01_shape,14.769,-17.4075,39
BRT_01_shape,14.77287,-17.40979,40
BRT_01_shape,14.771,-17.405,41
BRT_01_shape,14.77019,-17.40156,42
BRT_01_shape,14.7735,-17.4,43
BRT_01_shape,14.77619,-17.39881,44
BRT_01_shape,14.7755,-17.3955,45
BRT_01_shape,14.7745,-17.393,46
BRT_01_shape,14.773,-17.39,47
BRT_01_shape,14.77156,-17.38694,48
BRT_01_shape_rev,14.77156,-17.38694,1
BRT_01_shape_rev,14.773,-17.39,2
BRT_01_shape_rev,14.7745,-17.393,3
BRT_01_shape_rev,14.7755,-17.3955,4
BRT_01_shape_rev,14.77619,-17.39881,5
BRT_01_shape_rev,14.7735,-17.4,6
BRT_01_shape_rev,14.77019,-17.40156,7
BRT_01_shape_rev,14.771,-17.405,8
BRT_01_shape_rev,14.77287,-17.40979,9
BRT_01_shape_rev,14.769,-17.4075,10
BRT_01_shape_rev,14.76756,-17.41356,11
BRT_01_shape_rev,14.766,-17.4165,12
BRT_01_shape_rev,14.76462,-17.41969,13
BRT_01_shape_rev,14.764,-17.4215,14
BRT_01_shape_rev,14.76269,-17.42431,15
BRT_01_shape_rev,14.7595,-17.426,16
BRT_01_shape_rev,14.7565,-17.4285,17
BRT_01_shape_rev,14.75369,-17.43181,18
BRT_01_shape_rev,14.7525,-17.4355,19
BRT_01_shape_rev,14.7512,-17.4395,20
BRT_01_shape_rev,14.7495,-17.4435,21
BRT_01_shape_rev,14.74795,-17.44715,22
BRT_01_shape_rev,14.7448,-17.449,23
BRT_01_shape_rev,14.74156,-17.45131,24
BRT_01_shape_rev,14.739,-17.4535,25
BRT_01_shape_rev,14.73681,-17.45531,26
BRT_01_shape_rev,14.7345,-17.4556,27
BRT_01_shape_rev,14.7315,-17.456,28
BRT_01_shape_rev,14.729,-17.4575,29
BRT_01_shape_rev,14.72631,-17.45919,30
BRT_01_shape_rev,14.723,-17.4625,31
BRT_01_shape_rev,14.72044,-17.46444,32
BRT_01_shape_rev,14.7185,-17.464,33
BRT_01_shape_rev,14.7166,-17.4635,34
BRT_01_shape_rev,14.7135,-17.463,35
BRT_01_shape_rev,14.70993,-17.4625,36
BRT_01_shape_rev,14.7075,-17.4602,37
BRT_01_shape_rev,14.7052,-17.4578,38
BRT_01_shape_rev,14.7025,-17.4552,39
BRT_01_shape_rev,14.69956,-17.45244,40
BRT_01_shape_rev,14.697,-17.4502,41
BRT_01_shape_rev,14.6943,-17.44826,42
BRT_01_shape_rev,14.69,-17.4468,43
BRT_01_shape_rev,14.6855,-17.445,44
BRT_01_shape_rev,14.6815,-17.4435,45
BRT_01_shape_rev,14.67822,-17.44219,46
BRT_01_shape_rev,14.677,-17.4418,47
BRT_01_shape_rev,14.67548,-17.44157,48
TER_01_shape,14.67599,-17.43352,1
TER_01_shape,14.6795,-17.433,2
TER_01_shape,14.6845,-17.4332,3
TER_01_shape,14.688,-17.4338,4
TER_01_shape,14.692,-17.4355,5
TER_01_shape,14.696,-17.4382,6
TER_01_shape,14.6985,-17.4402,7
TER_01_shape,14.70035,-17.44165,8
TER_01_shape,14.7045,-17.441,9
TER_01_shape,14.709,-17.4395,10
TER_01_shape,14.7135,-17.437,11
TER_01_shape,14.718,-17.4345,12
TER_01_shape,14.72209,-17.43207,13
TER_01_shape,14.7255,-17.4285,14
TER_01_shape,14.729,-17.425,15
TER_01_shape,14.7318,-17.422,16
TER_01_shape,14.73425,-17.419,17
TER_01_shape,14.736,-17.4145,18
TER_01_shape,14.7378,-17.4095,19
TER_01_shape,14.739,-17.406,20
TER_01_shape,14.73971,-17.40361,21
TER_01_shape,14.7425,-17.3995,22
TER_01_shape,14.7455,-17.3965,23
TER_01_shape,14.748,-17.3935,24
TER_01_shape,14.74986,-17.39169,25
TER_01_shape,14.7525,-17.388,26
TER_01_shape,14.7555,-17.3845,27
TER_01_shape,14.7575,-17.382,28
TER_01_shape,14.75877,-17.3803,29
TER_01_shape,14.7605,-17.3735,30
TER_01_shape,14.762,-17.367,31
TER_01_shape,14.7635,-17.3615,32
TER_01_shape,14.76491,-17.3565,33
TER_01_shape,14.764,-17.3485,34
TER_01_shape,14.7615,-17.3395,35
TER_01_shape,14.7575,-17.331,36
TER_01_shape,14.7515,-17.3225,37
TER_01_shape,14.747,-17.3175,38
TER_01_shape,14.74408,-17.31389,39
TER_01_shape,14.7395,-17.307,40
TER_01_shape,14.7345,-17.2995,41
TER_01_shape,14.7295,-17.2925,42
TER_01_shape,14.726,-17.288,43
TER_01_shape,14.72317,-17.28394,44
TER_01_shape,14.7205,-17.279,45
TER_01_shape,14.718,-17.2745,46
TER_01_shape,14.71596,-17.27,47
TER_01_shape,14.7125,-17.26,48
TER_01_shape,14.708,-17.25,49
TER_01_shape,14.7035,-17.24,50
TER_01_shape,14.7005,-17.234,51
TER_01_shape,14.69818,-17.2292,52
TER_01_shape,14.6995,-17.221,53
TER_01_shape,14.703,-17.2135,54
TER_01_shape,14.7075,-17.207,55
TER_01_shape,14.712,-17.2025,56
TER_01_shape,14.71606,-17.19845,57
TER_01_shape_rev,14.71606,-17.19845,1
TER_01_shape_rev,14.712,-17.2025,2
TER_01_shape_rev,14.7075,-17.207,3
TER_01_shape_rev,14.703,-17.2135,4
TER_01_shape_rev,14.6995,-17.221,5
TER_01_shape_rev,14.69818,-17.2292,6
TER_01_shape_rev,14.7005,-17.234,7
TER_01_shape_rev,14.7035,-17.24,8
TER_01_shape_rev,14.708,-17.25,9
TER_01_shape_rev,14.7125,-17.26,10
TER_01_shape_rev,14.71596,-17.27,11
TER_01_shape_rev,14.718,-17.2745,12
TER_01_shape_rev,14.7205,-17.279,13
TER_01_shape_rev,14.72317,-17.28394,14
TER_01_shape_rev,14.726,-17.288,15
TER_01_shape_rev,14.7295,-17.2925,16
TER_01_shape_rev,14.7345,-17.2995,17
TER_01_shape_rev,14.7395,-17.307,18
TER_01_shape_rev,14.74408,-17.31389,19
TER_01_shape_rev,14.747,-17.3175,20
TER_01_shape_rev,14.7515,-17.3225,21
TER_01_shape_rev,14.7575,-17.331,22
TER_01_shape_rev,14.7615,-17.3395,23
TER_01_shape_rev,14.764,-17.3485,24
TER_01_shape_rev,14.76491,-17.3565,25
TER_01_shape_rev,14.7635,-17.3615,26
TER_01_shape_rev,14.762,-17.367,27
TER_01_shape_rev,14.7605,-17.3735,28
TER_01_shape_rev,14.75877,-17.3803,29
TER_01_shape_rev,14.7575,-17.382,30
TER_01_shape_rev,14.7555,-17.3845,31
TER_01_shape_rev,14.7525,-17.388,32
TER_01_shape_rev,14.74986,-17.39169,33
TER_01_shape_rev,14.748,-17.3935,34
TER_01_shape_rev,14.7455,-17.3965,35
TER_01_shape_rev,14.7425,-17.3995,36
TER_01_shape_rev,14.73971,-17.40361,37
TER_01_shape_rev,14.739,-17.406,38
TER_01_shape_rev,14.7378,-17.4095,39
TER_01_shape_rev,14.736,-17.4145,40
TER_01_shape_rev,14.73425,-17.419,41
TER_01_shape_rev,14.7318,-17.422,42
TER_01_shape_rev,14.729,-17.425,43
TER_01_shape_rev,14.7255,-17.4285,44
TER_01_shape_rev,14.72209,-17.43207,45
