trip_id,arrival_time,departure_time,stop_id,stop_sequence
BRT_01_001,06:00:00,06:00:30,BRT_01_Papa_Gueye,1
BRT_01_001,06:02:00,06:02:30,BRT_02_Grande_Mos,2
BRT_01_001,06:04:00,06:04:30,BRT_03_Place_de_l,3
BRT_01_001,06:06:00,06:06:30,BRT_04_Dial_Diop,4
BRT_01_001,06:08:00,06:08:30,BRT_05_Grand_Dakar,5
BRT_01_001,06:10:00,06:10:30,BRT_06_Liberte_1,6
BRT_01_001,06:12:00,06:12:30,BRT_07_Sacre_Coeur,7
BRT_01_001,06:14:00,06:14:30,BRT_08_Liberte_5,8
BRT_01_001,06:16:00,06:16:30,BRT_09_Liberte_6,9
BRT_01_001,06:18:00,06:18:30,BRT_10_Khar_Yalla,10
BRT_01_001,06:20:00,06:20:30,BRT_11_Scat_Urbam,11
BRT_01_001,06:22:00,06:22:30,BRT_12_Cardinal_H,12
BRT_01_001,06:24:00,06:24:30,BRT_13_Grand_Medine,13
BRT_01_001,06:26:00,06:26:30,BRT_14_Police_des,14
BRT_01_001,06:28:00,06:28:30,BRT_15_Croisement,15
BRT_01_001,06:30:00,06:30:30,BRT_16_Parcelles,16
BRT_01_001,06:32:00,06:32:30,BRT_17_Ndingala,17
BRT_01_001,06:34:00,06:34:30,BRT_18_Golf_Sud,18
BRT_01_001,06:36:00,06:36:30,BRT_19_Dalal_Jam,19
BRT_01_001,06:38:00,06:38:30,BRT_20_Fith_Mith,20
BRT_01_001,06:40:00,06:40:30,BRT_21_Golf_Nord,21
BRT_01_001,06:42:00,06:42:30,BRT_22_Gadaye,22
BRT_01_001,06:44:00,06:44:30,BRT_23_Prefecture,23
TER_01_001,06:00:00,06:01:00,TER_01_Dakar,1
TER_01_001,06:04:00,06:05:00,TER_02_Colobane,2
TER_01_001,06:08:00,06:09:00,TER_03_Hann,3
TER_01_001,06:12:00,06:13:00,TER_04_Dalifort,4
TER_01_001,06:16:00,06:17:00,TER_05_Beaux_Mara,5
TER_01_001,06:20:00,06:21:00,TER_06_Pikine,6
TER_01_001,06:24:00,06:25:00,TER_07_Thiaroye,7
TER_01_001,06:28:00,06:29:00,TER_08_Yeumbeul,8
TER_01_001,06:33:00,06:34:00,TER_09_Keur_Mbaye_Fall,9
TER_01_001,06:37:00,06:38:00,TER_10_PNR,10
TER_01_001,06:40:00,06:41:00,TER_11_Rufisque,11
TER_01_001,06:43:00,06:44:00,TER_12_Bargny,12
TER_01_001,06:46:00,06:46:00,TER_13_Diamniadio,13
TER_01_002,07:00:00,07:01:00,TER_13_Diamniadio,1
TER_01_002,07:03:00,07:04:00,TER_12_Bargny,2
TER_01_002,07:06:00,07:07:00,TER_11_Rufisque,3
TER_01_002,07:09:00,07:10:00,TER_10_PNR,4
TER_01_002,07:13:00,07:14:00,TER_09_Keur_Mbaye_Fall,5
TER_01_002,07:18:00,07:19:00,TER_08_Yeumbeul,6
TER_01_002,07:22:00,07:23:00,TER_07_Thiaroye,7
TER_01_002,07:26:00,07:27:00,TER_06_Pikine,8
TER_01_002,07:30:00,07:31:00,TER_05_Beaux_Mara,9
TER_01_002,07:34:00,07:35:00,TER_04_Dalifort,10
TER_01_002,07:38:00,07:39:00,TER_03_Hann,11
TER_01_002,07:42:00,07:43:00,TER_02_Colobane,12
TER_01_002,07:46:00,07:46:00,TER_01_Dakar,13
BRT_01_002,07:00:00,07:01:00,BRT_23_Prefecture,1
BRT_01_002,07:02:30,07:03:30,BRT_22_Gadaye,2
BRT_01_002,07:05:00,07:06:00,BRT_21_Golf_Nord,3
BRT_01_002,07:07:30,07:08:30,BRT_20_Fith_Mith,4
BRT_01_002,07:10:00,07:11:00,BRT_19_Dalal_Jam,5
BRT_01_002,07:12:30,07:13:30,BRT_18_Golf_Sud,6
BRT_01_002,07:15:00,07:16:00,BRT_17_Ndingala,7
BRT_01_002,07:17:30,07:18:30,BRT_16_Parcelles,8
BRT_01_002,07:20:00,07:21:00,BRT_15_Croisement,9
BRT_01_002,07:22:30,07:23:30,BRT_14_Police_des,10
BRT_01_002,07:25:00,07:26:00,BRT_13_Grand_Medine,11
BRT_01_002,07:27:30,07:28:30,BRT_12_Cardinal_H,12
BRT_01_002,07:30:00,07:31:00,BRT_11_Scat_Urbam,13
BRT_01_002,07:32:30,07:33:30,BRT_10_Khar_Yalla,14
BRT_01_002,07:35:00,07:36:00,BRT_09_Liberte_6,15
BRT_01_002,07:37:30,07:38:30,BRT_08_Liberte_5,16
BRT_01_002,07:40:00,07:41:00,BRT_07_Sacre_Coeur,17
BRT_01_002,07:42:30,07:43:30,BRT_06_Liberte_1,18
BRT_01_002,07:45:00,07:46:00,BRT_05_Grand_Dakar,19
BRT_01_002,07:47:30,07:48:30,BRT_04_Dial_Diop,20
BRT_01_002,07:50:00,07:51:00,BRT_03_Place_de_l,21
BRT_01_002,07:52:30,07:53:30,BRT_02_Grande_Mos,22
BRT_01_002,07:55:00,07:55:00,BRT_01_Papa_Gueye,23
TER_01_003,12:00:00,12:01:00,TER_13_Diamniadio,1
TER_01_003,12:03:00,12:04:00,TER_12_Bargny,2
TER_01_003,12:06:00,12:07:00,TER_11_Rufisque,3
TER_01_003,12:09:00,12:10:00,TER_10_PNR,4
TER_01_003,12:13:00,12:14:00,TER_09_Keur_Mbaye_Fall,5
TER_01_003,12:18:00,12:19:00,TER_08_Yeumbeul,6
TER_01_003,12:22:00,12:23:00,TER_07_Thiaroye,7
TER_01_003,12:26:00,12:27:00,TER_06_Pikine,8
TER_01_003,12:30:00,12:31:00,TER_05_Beaux_Mara,9
TER_01_003,12:34:00,12:35:00,TER_04_Dalifort,10
TER_01_003,12:38:00,12:39:00,TER_03_Hann,11
TER_01_003,12:42:00,12:43:00,TER_02_Colobane,12
TER_01_003,12:46:00,12:46:00,TER_01_Dakar,13
BRT_01_003,12:00:00,12:01:00,BRT_23_Prefecture,1
BRT_01_003,12:02:30,12:03:30,BRT_22_Gadaye,2
BRT_01_003,12:05:00,12:06:00,BRT_21_Golf_Nord,3
BRT_01_003,12:07:30,12:08:30,BRT_20_Fith_Mith,4
BRT_01_003,12:10:00,12:11:00,BRT_19_Dalal_Jam,5
BRT_01_003,12:12:30,12:13:30,BRT_18_Golf_Sud,6
BRT_01_003,12:15:00,12:16:00,BRT_17_Ndingala,7
BRT_01_003,12:17:30,12:18:30,BRT_16_Parcelles,8
BRT_01_003,12:20:00,12:21:00,BRT_15_Croisement,9
BRT_01_003,12:22:30,12:23:30,BRT_14_Police_des,10
BRT_01_003,12:25:00,12:26:00,BRT_13_Grand_Medine,11
BRT_01_003,12:27:30,12:28:30,BRT_12_Cardinal_H,12
BRT_01_003,12:30:00,12:31:00,BRT_11_Scat_Urbam,13
BRT_01_003,12:32:30,12:33:30,BRT_10_Khar_Yalla,14
BRT_01_003,12:35:00,12:36:00,BRT_09_Liberte_6,15
BRT_01_003,12:37:30,12:38:30,BRT_08_Liberte_5,16
BRT_01_003,12:40:00,12:41:00,BRT_07_Sacre_Coeur,17
BRT_01_003,12:42:30,12:43:30,BRT_06_Liberte_1,18
BRT_01_003,12:45:00,12:46:00,BRT_05_Grand_Dakar,19
BRT_01_003,12:47:30,12:48:30,BRT_04_Dial_Diop,20
BRT_01_003,12:50:00,12:51:00,BRT_03_Place_de_l,21
BRT_01_003,12:52:30,12:53:30,BRT_02_Grande_Mos,22
BRT_01_003,12:55:00,12:55:00,BRT_01_Papa_Gueye,23
