stop_id,stop_name,stop_lat,stop_lon
BRT_petersen,Petersen (PEM Papa Gueye Fall),14.6758222,-17.4412971
BRT_grande_mosquee,Grande Mosquée,14.6825044,-17.4442152
BRT_place_nation,Place de la Nation,14.6955698,-17.4500055
BRT_dial_diop,Dial Diop,14.6988058,-17.4529316
BRT_grand_dakar,Grand Dakar,14.7044199,-17.4576815
BRT_liberte_1,Liberté 1,14.7093042,-17.4618601
BRT_sacre_coeur,Sacré-Cœur,14.7169618,-17.4664234
BRT_liberte_5,Liberté 5,14.7204455,-17.4644667
BRT_liberte_6,Liberté 6,14.7256821,-17.4596543
BRT_khar_yalla,Khar Yalla,14.7335341,-17.4561432
BRT_scat_urbam,Scat Urbam,14.7369474,-17.4551404
BRT_cardinal_thiandoum,Cardinal Hyacinthe Thiandoum,14.7410097,-17.4519930
BRT_grand_medine,Grand Médine,14.7474404,-17.4448858
BRT_police_parcelles,Police des Parcelles,14.7507157,-17.4396266
BRT_croisement_22,Croisement 22,14.7533929,-17.4340601
BRT_parcelles_assainies,Parcelles Assainies,14.7621436,-17.4249878
BRT_ndingala,Ndingala,14.7643125,-17.4204982
BRT_golf_sud,Golf Sud,14.7670179,-17.4141275
BRT_dalal_jamm,Dalal Jamm,14.7711987,-17.4084957
BRT_fith_mith,Fith Mith,14.7752259,-17.4064010
BRT_golf_nord,Golf Nord,14.7760856,-17.3992230
BRT_gueule_tapee_gdw,Gueule Tapée (Guédiawaye),14.7760159,-17.3928810
BRT_prefecture_guediawaye,Préfecture de Guédiawaye,14.7723670,-17.3876291
TER_dakar,Gare de Dakar,14.6763952,-17.4336429
TER_colobane,Colobane,14.7004341,-17.4416258
TER_hann,Hann,14.7221767,-17.4320120
TER_dalifort,Dalifort,14.7342554,-17.4189499
TER_baux_maraichers,Baux Maraîchers,14.7397146,-17.4035251
TER_pikine,Pikine,14.7499118,-17.3916261
TER_thiaroye,Thiaroye,14.7587693,-17.3802603
TER_yeumbeul,Yeumbeul,14.7648945,-17.3565291
TER_mbao,Mbao,14.7438433,-17.3137098
TER_pnr,PNR (Rufisque),14.7231821,-17.2839872
TER_rufisque,Rufisque,14.7159589,-17.2700466
TER_bargny,Bargny,14.6981788,-17.2291662
TER_diamniadio,Diamniadio,14.7160563,-17.1984391
DDD_n60879475,Ouakam Village Sud,14.7246624,-17.4827304
DDD_n560149694,Gare Palais 1,14.6510408,-17.4334560
DDD_n4754586087,Gare Palais 2,14.6528750,-17.4334330
DDD_n5049096052,Palais (Av. Léopold S. Senghor),14.6527633,-17.4335872
DDD_n4754561630,Plateau – Bd de la République,14.6577489,-17.4353858
DDD_n4754561629,Clémenceau,14.6616769,-17.4369275
DDD_n4754571947,Plateau – Place de l'Indépendance,14.6624830,-17.4351713
DDD_n4755191564,Plateau – Av. Lamine Guèye,14.6652129,-17.4354636
DDD_n4754619722,Plateau – Sandaga,14.6658079,-17.4372243
DDD_n4754633611,Sandaga – Av. Blaise Diagne,14.6664995,-17.4395961
DDD_n4666430940,Plateau – Av. Malick Sy,14.6695142,-17.4326022
DDD_n4666430942,Alybaba,14.6694574,-17.4345883
DDD_n4758221432,Plateau – Marché Sandaga Nord,14.6691420,-17.4389448
DDD_n4666430946,El Malick,14.6716110,-17.4404423
DDD_n4666430948,Ville (Petersen),14.6756718,-17.4439707
DDD_n4666430949,Polyclinique,14.6779668,-17.4463337
DDD_n4666430952,Marché Tilène,14.6799822,-17.4485358
DDD_n4666430954,Marché Tilène Nord,14.6820994,-17.4507748
DDD_n4666430956,Médina,14.6837606,-17.4525605
