route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BRT_01,BRT_DAILY,BRT_01_001,Préfecture de Guédiawaye,0,BRT_01_shape
BRT_01,BRT_DAILY,BRT_01_002,Petersen,1,BRT_01_shape_rev
TER_01,TER_DAILY,TER_01_001,Diamniadio,0,TER_01_shape
TER_01,TER_DAILY,TER_01_002,Dakar,1,TER_01_shape_rev
DDD_07,DAILY,DDD_07_001,Ouakam,0,DDD_07_shape
DDD_10,DAILY,DDD_10_001,Liberté 5,0,DDD_10_shape
DDD_23,DAILY,DDD_23_001,Parcelles Assainies,0,DDD_23_shape
DDD_12,DAILY,DDD_12_001,Parcelles,0,
DDD_12,DAILY,DDD_12_002,Guédiawaye,1,
TATA_01,DAILY,TATA_01_001,Pikine,0,
TATA_01,DAILY,TATA_01_002,Colobane,1,
TATA_02,DAILY,TATA_02_001,Parcelles,0,
TATA_02,DAILY,TATA_02_002,Petersen,1,
AFTU_01,DAILY,AFTU_01_001,Yoff,0,
AFTU_01,DAILY,AFTU_01_002,Guédiawaye,1,
AFTU_02,DAILY,AFTU_02_001,Petersen,0,
AFTU_02,DAILY,AFTU_02_002,Parcelles Assainies,1,
AFTU_03,DAILY,AFTU_03_001,Petersen,0,
AFTU_03,DAILY,AFTU_03_002,Grand Yoff,1,
AFTU_04,DAILY,AFTU_04_001,Petersen,0,
AFTU_04,DAILY,AFTU_04_002,Keur Massar,1,
AFTU_05,DAILY,AFTU_05_001,Palais,0,
AFTU_05,DAILY,AFTU_05_002,Guédiawaye,1,
AFTU_06,DAILY,AFTU_06_001,Colobane,0,
AFTU_06,DAILY,AFTU_06_002,Parcelles,1,
AFTU_07,DAILY,AFTU_07_001,Petersen,0,
AFTU_07,DAILY,AFTU_07_002,Ouakam,1,
AFTU_08,DAILY,AFTU_08_001,Petersen,0,
AFTU_08,DAILY,AFTU_08_002,Yoff,1,
AFTU_09,DAILY,AFTU_09_001,Colobane,0,
AFTU_09,DAILY,AFTU_09_002,Guédiawaye,1,
AFTU_11,DAILY,AFTU_11_001,Petersen,0,
AFTU_11,DAILY,AFTU_11_002,Malika,1,
AFTU_12,DAILY,AFTU_12_001,HLM,0,
AFTU_12,DAILY,AFTU_12_002,Keur Massar,1,
AFTU_13,DAILY,AFTU_13_001,Petersen,0,
AFTU_13,DAILY,AFTU_13_002,Rufisque,1,
AFTU_14,DAILY,AFTU_14_001,Yoff,0,
AFTU_14,DAILY,AFTU_14_002,Parcelles,1,
AFTU_15,DAILY,AFTU_15_001,Fass,0,
AFTU_15,DAILY,AFTU_15_002,Guédiawaye,1,
AFTU_16,DAILY,AFTU_16_001,Petersen,0,
AFTU_16,DAILY,AFTU_16_002,Pikine,1,
AFTU_17,DAILY,AFTU_17_001,Petersen,0,
AFTU_17,DAILY,AFTU_17_002,Keur Massar,1,
AFTU_18,DAILY,AFTU_18_001,Plateau,0,
AFTU_18,DAILY,AFTU_18_002,Guédiawaye,1,
AFTU_19,DAILY,AFTU_19_001,Petersen,0,
AFTU_19,DAILY,AFTU_19_002,Thiaroye,1,
AFTU_20,DAILY,AFTU_20_001,Petersen,0,
AFTU_20,DAILY,AFTU_20_002,Mbao,1,
AFTU_21,DAILY,AFTU_21_001,Colobane,0,
AFTU_21,DAILY,AFTU_21_002,Keur Massar,1,
AFTU_22,DAILY,AFTU_22_001,Patte d'Oie,0,
AFTU_22,DAILY,AFTU_22_002,Guédiawaye,1,
AFTU_24,DAILY,AFTU_24_001,Petersen,0,
AFTU_24,DAILY,AFTU_24_002,Parcelles,1,
AFTU_25,DAILY,AFTU_25_001,Petersen,0,
AFTU_25,DAILY,AFTU_25_002,Hamo,1,
AFTU_26,DAILY,AFTU_26_001,Petersen,0,
AFTU_26,DAILY,AFTU_26_002,Boubess,1,
AFTU_27,DAILY,AFTU_27_001,Petersen,0,
AFTU_27,DAILY,AFTU_27_002,Hamo,1,
AFTU_28,DAILY,AFTU_28_001,Colobane,0,
AFTU_28,DAILY,AFTU_28_002,Gadaye,1,
AFTU_29,DAILY,AFTU_29_001,Colobane,0,
AFTU_29,DAILY,AFTU_29_002,Gadaye,1,
AFTU_30,DAILY,AFTU_30_001,Colobane,0,
AFTU_30,DAILY,AFTU_30_002,Guédiawaye,1,
AFTU_31,DAILY,AFTU_31_001,Guédiawaye,0,
AFTU_31,DAILY,AFTU_31_002,Ngor,1,
AFTU_32,DAILY,AFTU_32_001,Guédiawaye,0,
AFTU_32,DAILY,AFTU_32_002,Gueule Tapée,1,
AFTU_33,DAILY,AFTU_33_001,Guédiawaye,0,
AFTU_33,DAILY,AFTU_33_002,Colobane,1,
AFTU_34,DAILY,AFTU_34_001,Yoff,0,
AFTU_34,DAILY,AFTU_34_002,Rebeuss,1,
AFTU_35,DAILY,AFTU_35_001,Golf,0,
AFTU_35,DAILY,AFTU_35_002,Petersen,1,
AFTU_36,DAILY,AFTU_36_001,Guédiawaye,0,
AFTU_36,DAILY,AFTU_36_002,Ngor,1,
